,ncdu,"a nicer disk usage."
,tree,"lists directory contents like trees."
,entr,"does things automattically."
,libnotify,"allows desktop notifications."
,sxiv,"is a minimalist image viewer."
,st,"suckless terminal."
,nnn,"a minimalist file browser."
,feh,"sets the wallpaper."
,nano,"just in case."
,neovim,"an tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video/gif player."
,mupdf,"is a lightweight pdf viewer written in C."
,chromium,"who uses firefox?"
A,ttf-emojione,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
A,ttf-symbola,"provides unicode and emoji symbols."
,ntfs-3g,"allows accessing NTFS partitions."
,htop,"provides system usage information and displays processes."
,maim,"can take quick screenshots at your request."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,w3m,"is a terminal browser which can also view images."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,fzf,"is a fuzzy finder tool."
,xorg-xbacklight,"enables changing screen brightness levels."
,lsd,"ls on lsd."
,nerd-fonts-terminus,"nerd fonts for lsd."
